service_id,date,exception_type
285.58.1,20260505,2
285.58.1,20260507,2
285.58.1,20260512,2
285.58.1,20260514,2
285.58.1,20260519,2
285.58.1,20260521,2
285.58.1,20260525,2
285.58.1,20260526,2
285.58.1,20260528,2
285.64.1,20260525,2
285.67.1,20260429,2
285.67.1,20260506,2
285.67.1,20260513,2
285.67.1,20260520,2
285.67.1,20260525,2
285.67.1,20260527,2
285.76.1,20260525,2
285.80.1,20260603,1
285.80.1,20260428,2
285.80.1,20260525,2
285.88.1,20260501,2
285.88.1,20260506,2
285.88.1,20260508,2
285.88.1,20260513,2
285.88.1,20260515,2
285.88.1,20260520,2
285.88.1,20260522,2
285.88.1,20260525,2
285.88.1,20260527,2
285.88.1,20260529,2
285.901.1,20260430,2
285.901.1,20260505,2
285.901.1,20260507,2
285.901.1,20260512,2
285.901.1,20260514,2
285.901.1,20260519,2
285.901.1,20260521,2
285.901.1,20260525,2
285.901.1,20260526,2
285.901.1,20260528,2
