,route_name,route_direction_id,stop_id,stop_name,boardings,alightings,total_b_a,geometry
366,23,238760,60600,San Carlos & Grand,212.14257237860178,157.1120912584148,369.25466363701656,POINT (6150952.27365158 1943310.43882772)
366,523,238760,60600,San Carlos & Grand,212.14257237860178,157.1120912584148,369.25466363701656,POINT (6150952.27365158 1943310.43882772)
367,23,238760,60601,San Carlos & Lincoln,15.665844939374354,14.398501988207869,30.064346927582214,POINT (6152187.386995 1943351.54307623)
368,23,238760,60602,San Carlos & Sunol,50.2838803353509,27.00061825429471,77.28449858964562,POINT (6152904.01712342 1943375.72544256)
369,23,238760,60603,San Carlos & Barack Obama Blvd,63.277347244259055,112.40770512167572,175.68505236593475,POINT (6154646.17735299 1943797.87026756)
369,523,238760,60603,San Carlos & Barack Obama Blvd,63.277347244259055,112.40770512167572,175.68505236593475,POINT (6154646.17735299 1943797.87026756)
370,23,238760,60604,San Carlos & Josefa,1.8263143719026078,5.727981577246283,7.554295949148891,POINT (6155134.91686109 1944141.23441023)
371,23,238760,60605,San Carlos & Delmas,5.892544955044955,15.69988981606628,21.592434771111236,POINT (6155962.32498316 1944731.54228473)
372,23,238760,60606,San Carlos & Guadalupe River,3.962004662004661,34.74867216117216,38.71067682317682,POINT (6156618.30890742 1945099.38570915)
373,23,238760,60607,San Carlos & Convention Center,21.843207038059973,130.62349382643504,152.46670086449504,POINT (6157817.57652199 1945749.03335997)
373,523,238760,60607,San Carlos & Convention Center,21.843207038059973,130.62349382643504,152.46670086449504,POINT (6157817.57652199 1945749.03335997)
379,523,238710,60616,2nd & Santa Clara,79.8926495073554,5.199698340874812,85.09234784823018,POINT (6157931.53725208 1947667.47079606)
381,23,238761,60618,San Carlos & Market,51.79559190809188,39.89682400932402,91.69241591741589,POINT (6158128.21828917 1946048.84804906)
382,23,238710,60619,San Carlos & Market,143.37529823118058,17.662893479069947,161.03819171025057,POINT (6157437.86304258 1945654.53289281)
382,523,238710,60619,San Carlos & Market,143.37529823118058,17.662893479069947,161.03819171025057,POINT (6157437.86304258 1945654.53289281)
383,23,238710,60620,San Carlos & Woz Way,8.692603230103229,3.140040515040516,11.832643745143747,POINT (6156470.08413824 1945124.16978031)
384,23,238761,60621,San Carlos & Delmas,9.251386113886115,7.484407259407258,16.735793373293372,POINT (6155804.01558849 1944723.70732665)
385,23,238761,60623,San Carlos & Josefa,4.629799367299367,8.819784382284384,13.449583749583748,POINT (6154964.71313325 1944116.10289881)
386,23,238761,60624,San Carlos & Barack Obama Blvd,110.7444260804555,49.20035471064885,159.94478079110422,POINT (6154555.78252067 1943820.34299165)
386,523,238761,60624,San Carlos & Barack Obama Blvd,110.7444260804555,49.20035471064885,159.94478079110422,POINT (6154555.78252067 1943820.34299165)
387,23,238761,60625,San Carlos & Sunol,22.72378871128871,45.721287046287046,68.44507575757575,POINT (6152871.76292282 1943454.86537614)
388,23,238761,60626,San Carlos & Lincoln,9.761725774225773,30.93060689310688,40.69233266733266,POINT (6151912.40198067 1943417.58723548)
389,23,238761,60629,San Carlos & Buena Vista,50.153196803196806,87.27178238428239,137.42497918747918,POINT (6149204.84079474 1943410.06494081)
390,23,238761,60631,San Carlos & Shasta,1.4678071928071939,10.872094572094575,12.339901764901775,POINT (6147582.34928907 1943425.60493597)
391,23,238761,60632,San Carlos & Wabash,26.72485847485848,65.76088911088908,92.48574758574756,POINT (6146712.32084541 1943430.84836382)
392,23,238761,60634,San Carlos & Bascom,105.8506661639015,128.12761013496305,233.97827629886456,POINT (6145412.95238116 1943448.51073006)
392,523,238761,60634,San Carlos & Bascom,105.8506661639015,128.12761013496305,233.97827629886456,POINT (6145412.95238116 1943448.51073006)
393,23,238761,60635,Stevens Creek & Bradley,44.4403096903097,34.620462870462895,79.06077256077253,POINT (6144671.33214524 1943445.30043465)
397,23,238761,60642,Stevens Creek & Henry,4.005731768231769,10.103937728937733,14.109669497169504,POINT (6138422.37876391 1943522.85113256)
398,23,238761,60643,Stevens Creek & Cypress,45.21385314032374,89.98405369140664,135.19790683173034,POINT (6137101.69866249 1943535.41541189)
398,523,238761,60643,Stevens Creek & Cypress,45.21385314032374,89.98405369140664,135.19790683173034,POINT (6137101.69866249 1943535.41541189)
399,23,238761,60644,Stevens Creek & San Tomas,23.329326066090772,48.14805757967525,71.47738364576607,POINT (6135580.34376559 1943547.18015215)
400,23,238761,60645,Stevens Creek & Saratoga,21.30489094239096,59.9752206127206,81.28011155511155,POINT (6134134.80958316 1943553.8326979)
401,23,238761,60646,Stevens Creek & Kiely,131.52421793892384,172.41554785084193,303.939765789766,POINT (6132531.45353791 1943566.32807973)
401,523,238761,60646,Stevens Creek & Kiely,131.52421793892384,172.41554785084193,303.939765789766,POINT (6132531.45353791 1943566.32807973)
402,23,238761,60648,Stevens Creek & Woodhams,36.17887529137529,37.2869005994006,73.46577589077587,POINT (6130547.788542 1943583.84871398)
403,23,238761,60649,Stevens Creek & Cronin,11.62544538794539,15.10510739260739,26.73055278055279,POINT (6129306.19128767 1943595.53832315)
404,23,238761,60651,Stevens Creek & Cabot,52.817891014214545,62.39502246119896,115.21291347541343,POINT (6127904.45885491 1943613.84307656)
404,523,238761,60651,Stevens Creek & Cabot,52.817891014214545,62.39502246119896,115.21291347541343,POINT (6127904.45885491 1943613.84307656)
405,23,238640,60653,Stevens Creek & Interstate 280,64.01165166532813,65.28928579590344,129.30093746123154,POINT (6124818.62644391 1943633.35156773)
405,523,238640,60653,Stevens Creek & Interstate 280,64.01165166532813,65.28928579590344,129.30093746123154,POINT (6124818.62644391 1943633.35156773)
406,23,238761,60654,Stevens Creek & Tantau,10.607163669663674,32.67537046287046,43.282534132534145,POINT (6123497.93256299 1943663.69140206)
407,23,238761,60655,Stevens Creek & Finch,26.17302697302698,67.71761988011991,93.89064685314678,POINT (6122348.87154092 1943661.09954374)
408,23,238761,60656,Stevens Creek & Wolfe,66.9904445227975,88.55780126736008,155.54824579015758,POINT (6121122.69649982 1943673.64184149)
408,523,238761,60656,Stevens Creek & Wolfe,66.9904445227975,88.55780126736008,155.54824579015758,POINT (6121122.69649982 1943673.64184149)
409,23,238761,60657,Stevens Creek & Portal,10.58208041958042,19.100757575757576,29.682837995337977,POINT (6119702.38930108 1943694.49055307)
410,23,238761,60658,Stevens Creek & Blaney,7.370496170496169,22.296682484182487,29.667178654678658,POINT (6118664.34807009 1943705.54532097)
411,23,238761,60659,Stevens Creek & Vista,15.540721778221778,41.38506909756908,56.92579087579089,POINT (6117385.59734675 1943722.0252749)
412,23,238761,60660,Stevens Creek & De Anza,85.34525613275612,218.67659334129925,304.02184947405533,POINT (6115865.54428449 1943743.24668914)
412,25,238761,60660,Stevens Creek & De Anza,85.34525613275612,218.67659334129925,304.02184947405533,POINT (6115865.54428449 1943743.24668914)
412,523,238761,60660,Stevens Creek & De Anza,85.34525613275612,218.67659334129925,304.02184947405533,POINT (6115865.54428449 1943743.24668914)
413,23,238761,60661,Stevens Creek & Saich,35.1929375363199,101.81579539741305,137.00873293373286,POINT (6114945.06515433 1943758.70794432)
413,25,238761,60661,Stevens Creek & Saich,35.1929375363199,101.81579539741305,137.00873293373286,POINT (6114945.06515433 1943758.70794432)
414,23,238761,60662,Stevens Creek & Stelling,29.058043753632,58.89374742904154,87.9517911826735,POINT (6113230.57448883 1943787.2751444)
440,25,238790,60697,Stelling & Stevens Creek,180.77077554798146,177.6111552663024,358.3819308142838,POINT (6113413.25752242 1943331.25866798)
441,25,238790,60698,Stelling & Pepper Tree,32.17264026822851,1.033333333333333,33.205973601561865,POINT (6113412.57937416 1942372.09162307)
442,25,238790,60699,McClellan & Stelling,25.30388883991824,9.395945802563448,34.69983464248169,POINT (6114027.39376134 1941045.55917114)
443,25,238790,60700,McClellan & Felton,21.785632341514688,10.508983500159971,32.29461584167468,POINT (6115671.97577399 1941017.82661507)
444,25,238790,60701,Bollinger & De Anza,47.573204001880505,13.742074918545502,61.31527892042597,POINT (6116508.7713445 1939703.7380359)
445,25,238790,60702,Bollinger & Blaney,10.000426779103247,4.9738065855712925,14.974233364674545,POINT (6118771.25402425 1938838.01306131)
446,25,238790,60703,Bollinger & Alderbrook,3.4449849170437425,5.134729404582345,8.579714321626085,POINT (6120349.64653675 1938935.8183119)
447,25,238790,60704,Bollinger & Miller,24.3691309507486,15.851436880113342,40.22056783086195,POINT (6122050.25796491 1939037.93064047)
448,25,238790,60705,Bollinger & Tullipan,0.8716343297225652,3.009331110066404,3.880965439788969,POINT (6123001.89582542 1939105.23628014)
449,25,238790,60706,Bollinger & Johnson,6.428232062055592,23.530550658491833,29.95878272054741,POINT (6124664.83114783 1938909.51619914)
