route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Blue,285.2969.1,3970587,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.2,3970715,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.3,3970817,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.1,3970588,BAYPOINTE,0,9007,123160,1,1
Blue,285.2969.2,3970716,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.3,3970818,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.1,3970589,BAYPOINTE,0,9008,123160,1,1
Blue,285.2969.2,3970717,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.3,3970819,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.1,3970590,BAYPOINTE,0,9009,123160,1,1
Blue,285.2969.1,3970591,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.2,3970718,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.3,3970820,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.1,3970592,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.2,3970719,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.3,3970821,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.1,3970593,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.2,3970720,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.3,3970822,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.1,3970594,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.1,3970595,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.2,3970721,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.3,3970823,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.1,3970596,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.2,3970722,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.3,3970824,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.1,3970597,BAYPOINTE,0,9007,123160,1,1
Blue,285.2969.2,3970723,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.3,3970825,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.1,3970598,BAYPOINTE,0,9008,123160,1,1
Blue,285.2969.1,3970599,BAYPOINTE,0,9009,123160,1,1
Blue,285.2969.2,3970724,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.3,3970826,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.1,3970600,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.2,3970725,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.3,3970827,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.1,3970601,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.2,3970726,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.3,3970828,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.1,3970602,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.1,3970603,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.2,3970727,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.3,3970829,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.1,3970604,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.2,3970728,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.3,3970830,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.1,3970605,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.2,3970729,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.3,3970831,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.1,3970606,BAYPOINTE,0,9007,123160,1,1
Blue,285.2969.2,3970730,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.3,3970832,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.1,3970607,BAYPOINTE,0,9008,123160,1,1
Blue,285.2969.1,3970608,BAYPOINTE,0,9009,123160,1,1
Blue,285.2969.2,3970731,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.3,3970833,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.1,3970609,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.2,3970732,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.3,3970834,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.1,3970610,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.1,3970611,BAYPOINTE,0,9003,123160,1,1
Blue,285.2969.2,3970733,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.3,3970835,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.1,3970620,BAYPOINTE,0,9004,123160,1,1
Blue,285.2969.1,3970622,BAYPOINTE,0,9005,123160,1,1
Blue,285.2969.2,3970734,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.3,3970836,BAYPOINTE,0,9001,123160,1,1
Blue,285.2969.1,3970621,BAYPOINTE,0,9006,123160,1,1
Blue,285.2969.1,3970623,BAYPOINTE,0,9007,123160,1,1
Blue,285.2969.2,3970735,BAYPOINTE,0,9002,123160,1,1
Blue,285.2969.3,3970837,BAYPOINTE,0,9002,123160,1,1
