trip_id,route_id,direction_id,start_time,start_date,timestamp,stop_sequence,stop_id,arr_time,dep_time
3948423,22,0,08:49:00,20260504,1777914750,70,60404,1777914681.0,
3948423,22,0,08:49:00,20260504,1777914750,71,60406,1777914716.0,
3948423,22,0,08:49:00,20260504,1777914750,72,60408,1777914776.0,
3948423,22,0,08:49:00,20260504,1777914750,73,60409,1777914831.0,
3948423,22,0,08:49:00,20260504,1777914750,74,60410,1777914912.0,
3948423,22,0,08:49:00,20260504,1777914750,75,60411,1777914937.0,
3948423,22,0,08:49:00,20260504,1777914750,76,60412,1777915050.0,1777915200.0
3948423,22,0,08:49:00,20260504,1777914750,77,60413,1777915264.0,
3948423,22,0,08:49:00,20260504,1777914750,78,60414,1777915343.0,
3948423,22,0,08:49:00,20260504,1777914750,79,60415,1777915466.0,
3948423,22,0,08:49:00,20260504,1777914750,80,60416,1777915509.0,
3948423,22,0,08:49:00,20260504,1777914750,81,60418,1777915556.0,
3948423,22,0,08:49:00,20260504,1777914750,82,60419,1777915644.0,
3948423,22,0,08:49:00,20260504,1777914750,83,60420,1777915697.0,
3948423,22,0,08:49:00,20260504,1777914750,84,60421,1777915764.0,
3948423,22,0,08:49:00,20260504,1777914750,85,60422,1777915904.0,
3948423,22,0,08:49:00,20260504,1777914750,86,60035,1777916022.0,1777916100.0
3948423,22,0,08:49:00,20260504,1777914750,87,60036,1777916100.0,
3948423,22,0,08:49:00,20260504,1777914750,88,60037,1777916132.0,
3948423,22,0,08:49:00,20260504,1777914750,89,60038,1777916148.0,
3948423,22,0,08:49:00,20260504,1777914750,90,60039,1777916214.0,
3948423,22,0,08:49:00,20260504,1777914750,91,60040,1777916294.0,
3948423,22,0,08:49:00,20260504,1777914750,92,60041,1777916331.0,
3948423,22,0,08:49:00,20260504,1777914750,93,60042,1777916371.0,
3948423,22,0,08:49:00,20260504,1777914750,94,60043,1777916409.0,
3948423,22,0,08:49:00,20260504,1777914750,95,60044,1777916457.0,
3948423,22,0,08:49:00,20260504,1777914750,96,60045,1777916506.0,
3948423,22,0,08:49:00,20260504,1777914750,97,60046,1777916523.0,
3948423,22,0,08:49:00,20260504,1777914750,98,60047,1777916597.0,
3948423,22,0,08:49:00,20260504,1777914750,99,60048,1777916664.0,
3948423,22,0,08:49:00,20260504,1777914750,100,60049,1777916713.0,
3948423,22,0,08:49:00,20260504,1777914750,101,60050,1777916751.0,
3948423,22,0,08:49:00,20260504,1777914750,102,65707,1777916776.0,
3948423,22,0,08:49:00,20260504,1777914750,103,65812,1777916925.0,
3948424,22,0,08:34:00,20260504,1777914750,82,60419,1777914596.0,
3948424,22,0,08:34:00,20260504,1777914750,83,60420,1777914689.0,
3948424,22,0,08:34:00,20260504,1777914750,84,60421,1777914728.0,
3948424,22,0,08:34:00,20260504,1777914750,85,60422,1777914852.0,
3948424,22,0,08:34:00,20260504,1777914750,86,60035,1777914988.0,1777915200.0
3948424,22,0,08:34:00,20260504,1777914750,87,60036,1777915245.0,
3948424,22,0,08:34:00,20260504,1777914750,88,60037,1777915279.0,
3948424,22,0,08:34:00,20260504,1777914750,89,60038,1777915299.0,
3948424,22,0,08:34:00,20260504,1777914750,90,60039,1777915371.0,
3948424,22,0,08:34:00,20260504,1777914750,91,60040,1777915462.0,1777915620.0
3948424,22,0,08:34:00,20260504,1777914750,92,60041,1777915642.0,
3948424,22,0,08:34:00,20260504,1777914750,93,60042,1777915682.0,
3948424,22,0,08:34:00,20260504,1777914750,94,60043,1777915724.0,
3948424,22,0,08:34:00,20260504,1777914750,95,60044,1777915760.0,
3948424,22,0,08:34:00,20260504,1777914750,96,60045,1777915794.0,
3948424,22,0,08:34:00,20260504,1777914750,97,60046,1777915812.0,
3948424,22,0,08:34:00,20260504,1777914750,98,60047,1777915912.0,
3948424,22,0,08:34:00,20260504,1777914750,99,60048,1777915975.0,
3948424,22,0,08:34:00,20260504,1777914750,100,60049,1777916017.0,
3948424,22,0,08:34:00,20260504,1777914750,101,60050,1777916057.0,
3948424,22,0,08:34:00,20260504,1777914750,102,65707,1777916082.0,
3948424,22,0,08:34:00,20260504,1777914750,103,65812,1777916214.0,
3948434,22,0,10:28:00,20260504,1777914750,1,60519,,1777915680.0
3948434,22,0,10:28:00,20260504,1777914750,2,60328,1777915740.0,1777915800.0
3948434,22,0,10:28:00,20260504,1777914750,3,60329,1777915949.0,
3948434,22,0,10:28:00,20260504,1777914750,4,60330,1777915983.0,
3948434,22,0,10:28:00,20260504,1777914750,5,60331,1777916004.0,
3948434,22,0,10:28:00,20260504,1777914750,6,60332,1777916026.0,
3948434,22,0,10:28:00,20260504,1777914750,7,60333,1777916051.0,
3948434,22,0,10:28:00,20260504,1777914750,8,60334,1777916093.0,
3948434,22,0,10:28:00,20260504,1777914750,9,60335,1777916153.0,1777916340.0
3948434,22,0,10:28:00,20260504,1777914750,10,60336,1777916370.0,
3948434,22,0,10:28:00,20260504,1777914750,11,60337,1777916400.0,
3948434,22,0,10:28:00,20260504,1777914750,12,60338,1777916432.0,
3948434,22,0,10:28:00,20260504,1777914750,13,60339,1777916452.0,
3948434,22,0,10:28:00,20260504,1777914750,14,60340,1777916483.0,
3948434,22,0,10:28:00,20260504,1777914750,15,60341,1777916528.0,
3948434,22,0,10:28:00,20260504,1777914750,16,60342,1777916564.0,
3948434,22,0,10:28:00,20260504,1777914750,17,60343,1777916654.0,
3948434,22,0,10:28:00,20260504,1777914750,18,60344,1777916687.0,
3948434,22,0,10:28:00,20260504,1777914750,19,60345,1777916716.0,
3948434,22,0,10:28:00,20260504,1777914750,20,60346,1777916813.0,
3948434,22,0,10:28:00,20260504,1777914750,21,60347,1777916848.0,1777917120.0
3948434,22,0,10:28:00,20260504,1777914750,22,60348,1777917120.0,
3948434,22,0,10:28:00,20260504,1777914750,23,60350,1777917152.0,
3948434,22,0,10:28:00,20260504,1777914750,24,60351,1777917214.0,
3948434,22,0,10:28:00,20260504,1777914750,25,60352,1777917287.0,
3948434,22,0,10:28:00,20260504,1777914750,26,60353,1777917329.0,
3948434,22,0,10:28:00,20260504,1777914750,27,60354,1777917391.0,
3948434,22,0,10:28:00,20260504,1777914750,28,60355,1777917427.0,1777917660.0
3948434,22,0,10:28:00,20260504,1777914750,29,60356,1777917660.0,
3948434,22,0,10:28:00,20260504,1777914750,30,60357,1777917708.0,
3948434,22,0,10:28:00,20260504,1777914750,31,60358,1777917746.0,
3948434,22,0,10:28:00,20260504,1777914750,32,60359,1777917813.0,
3948434,22,0,10:28:00,20260504,1777914750,33,60360,1777917903.0,
3948434,22,0,10:28:00,20260504,1777914750,34,60361,1777917950.0,
3948434,22,0,10:28:00,20260504,1777914750,35,60362,1777918019.0,
3948434,22,0,10:28:00,20260504,1777914750,36,60363,1777918108.0,
3948434,22,0,10:28:00,20260504,1777914750,37,60364,1777918161.0,
3948434,22,0,10:28:00,20260504,1777914750,38,60365,1777918280.0,
3948434,22,0,10:28:00,20260504,1777914750,39,60366,1777918331.0,1777918620.0
3948434,22,0,10:28:00,20260504,1777914750,40,60367,1777918620.0,
3948434,22,0,10:28:00,20260504,1777914750,41,60368,1777918718.0,
3948434,22,0,10:28:00,20260504,1777914750,42,60369,1777918808.0,
3948446,22,0,10:13:00,20260504,1777914750,1,60519,,1777914780.0
3948446,22,0,10:13:00,20260504,1777914750,2,60328,1777914870.0,1777914900.0
3948446,22,0,10:13:00,20260504,1777914750,3,60329,1777915065.0,
3948446,22,0,10:13:00,20260504,1777914750,4,60330,1777915157.0,
3948446,22,0,10:13:00,20260504,1777914750,5,60331,1777915176.0,
3948446,22,0,10:13:00,20260504,1777914750,6,60332,1777915196.0,
3948446,22,0,10:13:00,20260504,1777914750,7,60333,1777915219.0,
3948446,22,0,10:13:00,20260504,1777914750,8,60334,1777915274.0,
3948446,22,0,10:13:00,20260504,1777914750,9,60335,1777915574.0,1777915574.0
3948446,22,0,10:13:00,20260504,1777914750,10,60336,1777915639.0,
3948446,22,0,10:13:00,20260504,1777914750,11,60337,1777915671.0,
3948446,22,0,10:13:00,20260504,1777914750,12,60338,1777915715.0,
3948446,22,0,10:13:00,20260504,1777914750,13,60339,1777915750.0,
3948446,22,0,10:13:00,20260504,1777914750,14,60340,1777915791.0,
3948446,22,0,10:13:00,20260504,1777914750,15,60341,1777915823.0,
3948446,22,0,10:13:00,20260504,1777914750,16,60342,1777915842.0,
3948446,22,0,10:13:00,20260504,1777914750,17,60343,1777915892.0,
3948446,22,0,10:13:00,20260504,1777914750,18,60344,1777915923.0,
3948446,22,0,10:13:00,20260504,1777914750,19,60345,1777915946.0,
3948446,22,0,10:13:00,20260504,1777914750,20,60346,1777916032.0,
3948446,22,0,10:13:00,20260504,1777914750,21,60347,1777916076.0,1777916220.0
3948446,22,0,10:13:00,20260504,1777914750,22,60348,1777916220.0,
3948446,22,0,10:13:00,20260504,1777914750,23,60350,1777916247.0,
3948446,22,0,10:13:00,20260504,1777914750,24,60351,1777916310.0,
3948446,22,0,10:13:00,20260504,1777914750,25,60352,1777916367.0,
3948446,22,0,10:13:00,20260504,1777914750,26,60353,1777916396.0,
3948446,22,0,10:13:00,20260504,1777914750,27,60354,1777916447.0,
3948446,22,0,10:13:00,20260504,1777914750,28,60355,1777916488.0,1777916760.0
3948446,22,0,10:13:00,20260504,1777914750,29,60356,1777916760.0,
3948446,22,0,10:13:00,20260504,1777914750,30,60357,1777916795.0,
3948446,22,0,10:13:00,20260504,1777914750,31,60358,1777916817.0,
3948446,22,0,10:13:00,20260504,1777914750,32,60359,1777916873.0,
3948446,22,0,10:13:00,20260504,1777914750,33,60360,1777916996.0,
3948446,22,0,10:13:00,20260504,1777914750,34,60361,1777917034.0,
3948446,22,0,10:13:00,20260504,1777914750,35,60362,1777917101.0,
3948446,22,0,10:13:00,20260504,1777914750,36,60363,1777917192.0,
3948446,22,0,10:13:00,20260504,1777914750,37,60364,1777917246.0,
3948446,22,0,10:13:00,20260504,1777914750,38,60365,1777917355.0,
3948446,22,0,10:13:00,20260504,1777914750,39,60366,1777917420.0,1777917720.0
3948446,22,0,10:13:00,20260504,1777914750,40,60367,1777917720.0,
3948446,22,0,10:13:00,20260504,1777914750,41,60368,1777917804.0,
3948446,22,0,10:13:00,20260504,1777914750,42,60369,1777917907.0,
3948446,22,0,10:13:00,20260504,1777914750,43,60370,1777917991.0,1777918140.0
3948446,22,0,10:13:00,20260504,1777914750,44,60371,1777918140.0,
3948446,22,0,10:13:00,20260504,1777914750,45,60372,1777918170.0,
3948446,22,0,10:13:00,20260504,1777914750,46,60373,1777918240.0,
3948446,22,0,10:13:00,20260504,1777914750,47,60374,1777918322.0,
3948446,22,0,10:13:00,20260504,1777914750,48,60375,1777918394.0,
3948446,22,0,10:13:00,20260504,1777914750,49,60376,1777918436.0,
3948446,22,0,10:13:00,20260504,1777914750,50,60377,1777918452.0,
3948446,22,0,10:13:00,20260504,1777914750,51,60378,1777918498.0,1777918740.0
3948446,22,0,10:13:00,20260504,1777914750,52,60379,1777918740.0,
3948446,22,0,10:13:00,20260504,1777914750,53,60380,1777918817.0,
3948446,22,0,10:13:00,20260504,1777914750,54,60381,1777918854.0,
3948446,22,0,10:13:00,20260504,1777914750,55,60382,1777918885.0,
3948459,22,0,09:04:00,20260504,1777914750,54,60381,1777914757.0,
3948459,22,0,09:04:00,20260504,1777914750,55,60382,1777914790.0,
3948459,22,0,09:04:00,20260504,1777914750,56,60384,1777914885.0,
3948459,22,0,09:04:00,20260504,1777914750,57,62743,1777914911.0,
3948459,22,0,09:04:00,20260504,1777914750,58,60020,1777914965.0,
3948459,22,0,09:04:00,20260504,1777914750,59,60001,1777915084.0,1777915084.0
3948459,22,0,09:04:00,20260504,1777914750,60,60393,1777915220.0,
3948459,22,0,09:04:00,20260504,1777914750,61,60394,1777915236.0,
3948459,22,0,09:04:00,20260504,1777914750,62,60395,1777915276.0,
3948459,22,0,09:04:00,20260504,1777914750,63,60397,1777915328.0,
3948459,22,0,09:04:00,20260504,1777914750,64,60398,1777915386.0,
3948459,22,0,09:04:00,20260504,1777914750,65,60399,1777915430.0,
3948459,22,0,09:04:00,20260504,1777914750,66,60400,1777915462.0,1777915462.0
3948459,22,0,09:04:00,20260504,1777914750,67,60401,1777915492.0,
