route_id,direction_id,stop_id,stop_sequence,mean_delay,stop_name,boardings,alightings,total_b_a,geometry,node,spacing_ft,index_right,cluster,adt,dist_to_adt
22,0,60397,63,-35.62068965517241,The Alameda & Newhall,39.26377641965878,15.97494441832677,55.238720837985554,POINT (6146329.00993225 1950686.1137089),65539401,451.46769281427214,126.0,126.0,15507.0,154.20018147169606
22,0,60398,64,-61.724137931034484,The Alameda & McKendrie,14.479637029637033,9.542597924950863,24.022234954587887,POINT (6147715.53865525 1949942.14898948),65488026,444.1490895720424,78.0,78.0,23472.0,348.1372132315283
22,0,60400,66,-85.51724137931035,The Alameda & Naglee,160.79183879845644,129.70788231376463,290.49972111222115,POINT (6148984.787101 1948553.67702889),65539392,334.01961028541393,86.0,86.0,21743.333333333332,83.7860798822303
22,0,60402,68,-103.3103448275862,The Alameda & Hester,9.997135054487996,9.60513987646341,19.60227493095141,POINT (6150347.347368 1947097.21701531),3678132176,262.72472063729407,127.0,127.0,23240.0,349.1406715949762
22,0,60403,69,-131.32142857142858,The Alameda & Hanchett,120.07972232016344,68.30533192297897,188.3850542431425,POINT (6150818.96880008 1946595.94603623),3678132173,193.34582126930468,127.0,127.0,23240.0,342.564864357234
22,0,60406,71,-149.41379310344828,The Alameda & Bush,124.0449915280798,49.44671651877535,173.49170804685514,POINT (6153200.88267142 1946316.46759257),3616819741,461.5433419977572,110.0,110.0,17070.666666666668,254.45382683188674
22,0,60408,72,-154.6551724137931,Santa Clara & Montgomery,201.4695195327548,133.47078999431943,334.9403095270741,POINT (6154169.72161299 1946352.91929132),3608334971,310.4364173769736,19.0,19.0,9158.75,234.447282842798
22,0,60412,76,-147.07142857142858,Santa Clara & 1st,527.7515366169779,488.0801242058595,1015.8316608228376,POINT (6157574.84144317 1947946.23861124),65419211,449.62346051874016,98.0,98.0,10873.545454545454,44.73839382559847
22,0,60413,77,-26.689655172413794,Santa Clara & 6th,2008.3313936880124,1159.265020110608,3167.5964137986184,POINT (6158928.50802717 1948704.70395781),65529799,436.01436494100227,77.0,77.0,14389.0,268.5102785978346
22,0,60414,78,25.357142857142858,Santa Clara & 7th,271.7836664152841,105.29960815328468,377.0832745685686,POINT (6159225.73249833 1948886.74690081),65468916,108.49689294122119,77.0,77.0,14389.0,89.38664893319826
22,0,60415,79,16.178571428571427,Santa Clara & 11th,75.57082557964911,82.57483064321302,158.14565622286207,POINT (6160682.18627833 1949721.3400479),65450663,530.9580819186837,71.0,71.0,16540.0,236.104456021048
22,0,60416,80,14.035714285714286,Santa Clara & 13th,21.590851713645836,34.090892196039256,55.68174390968508,POINT (6161161.25815482 1949993.21614456),3624053321,108.92894988280253,24.0,24.0,15372.0,281.383596645139
22,0,60418,81,-5.107142857142857,Santa Clara & 17th,74.73168653242185,195.31395124483356,270.04563777725554,POINT (6162125.66469058 1950549.64613406),65460546,397.4280467022063,69.0,69.0,16768.0,56.47035695870154
22,0,60419,82,-27.344827586206897,Santa Clara & 21st,39.46239340724635,99.70948895875364,139.17188236600006,POINT (6163225.61327808 1951192.6107274),65487649,386.7524395222068,21.0,21.0,17102.666666666668,96.41526399561018
22,0,60420,83,-43.172413793103445,Santa Clara & 24th,95.10504046606988,123.49301597095712,218.59805643702703,POINT (6164064.792374 1951680.29938456),65494694,294.55200335655206,15.0,15.0,11923.5,58.81272963832962
22,0,60421,84,-44.62068965517241,Santa Clara & 28th,74.42689051144936,80.74733183483178,155.1742223462811,POINT (6165083.9655325 1952252.78281964),65529824,371.01078687599926,30.0,30.0,24967.75,199.78431626427795
22,0,60422,85,-45.86206896551724,Alum Rock & 33rd,18.669426815015058,69.65748524351467,88.32691205852973,POINT (6166597.53140299 1953121.81290573),65421247,527.470881755901,20.0,20.0,14511.0,135.12801692040833
22,0,60035,86,-30.25,King & Alum Rock,149.6079740520917,157.93623590461826,307.5442099567101,POINT (6167727.93202934 1953654.17929506),4883398843,357.737737571383,118.0,118.0,28500.0,215.69479596620332
22,0,60036,87,-25.17241379310345,King & San Antonio,36.41845597213243,38.469836536013005,74.88829250814545,POINT (6168552.89461824 1952565.84026439),4170454448,496.43418743427765,27.0,27.0,13049.333333333334,63.80823883503165
22,0,60038,89,56.535714285714285,King & Virginia,42.71691592721005,39.129301907243104,81.84621783445313,POINT (6169685.78277241 1951032.84103382),65625731,187.3362998441902,144.0,144.0,20818.0,175.0310004633158
22,0,60040,91,290.60714285714283,King & Story,238.76370598355896,288.76921322141914,527.5329192049778,POINT (6171451.19098699 1948671.12922181),4170385711,667.9631635347071,58.0,58.0,31280.25,347.80582343847493
22,0,60041,92,307.42857142857144,King & Christopher,14.65468967307202,32.62560495060496,47.280294623676994,POINT (6172153.21582967 1947748.16715698),65483227,372.42901978164605,143.0,143.0,20122.5,38.6426758296284
22,0,60043,94,249.28571428571428,King & Havana,32.23416599740129,92.4745754245754,124.70874142197668,POINT (6173718.85771149 1945682.60337473),65625736,358.39518996272005,87.0,87.0,14537.666666666666,55.118507043856056
22,0,60045,96,189.71428571428572,King & Waverly,12.776400396988633,73.79196685667273,86.56836725366134,POINT (6175216.58568716 1943732.43798374),65534322,360.02225133351953,63.0,63.0,20670.0,38.90417073626268
22,0,60047,98,258.85714285714283,Tully & King,21.700355496756423,147.8202036053042,169.5205591020606,POINT (6176321.56280792 1942660.39682072),3700418053,249.6536346934409,41.0,41.0,42920.5,173.99652616338776
22,0,60049,100,312.7857142857143,Tully & Quimby,14.747801390216257,67.96769039783744,82.71549178805371,POINT (6177953.14681508 1944010.50960606),3112076275,239.16871885257044,120.0,120.0,41811.0,260.5409643552953
22,1,60053,3,107.3103448275862,Tully & Quimby,81.85968198468194,16.38665419547773,98.2463361801597,POINT (6177605.19541125 1943875.58927223),65552861,1012.0991736355137,120.0,120.0,41811.0,117.9100445775601
22,1,60055,5,179.79310344827587,King & Tully,175.0758443354032,17.758625688037448,192.83447002344053,POINT (6176051.84549958 1942753.43206772),65625746,248.54010040520822,140.0,140.0,51822.0,206.60108763473434
22,1,60425,7,147.06896551724137,King & Waverly,78.00327385033273,16.160768071797484,94.16404192213014,POINT (6175120.6186875 1943957.38339998),65534322,239.83682384723474,63.0,63.0,20670.0,211.59993509628328
22,1,60058,9,96.39285714285714,King & Ocala,97.5870973797444,28.67271527492116,126.25981265466558,POINT (6173760.78873 1945727.5232324),65625736,388.174323746044,87.0,87.0,14537.666666666666,6.526369216155873
22,1,60059,10,77.03571428571429,King & Biscayne,52.95605505605508,15.102580670963022,68.0586357270181,POINT (6172900.09589759 1946867.91596472),65596311,423.08826791736647,56.0,56.0,24530.0,127.04390607941681
22,1,60060,11,47.035714285714285,King & Everglade,28.80308310970075,16.460309869868695,45.26339297956948,POINT (6171993.74698849 1948063.61206415),65625734,371.5646069977916,143.0,143.0,20122.5,323.2651789916534
22,1,65427,12,69.35714285714286,King & Story,250.86059414441755,183.21120619576504,434.0718003401829,POINT (6171423.69432282 1948841.94187231),4170385711,618.5004111409708,58.0,58.0,31280.25,213.45645880205993
22,1,60061,13,176.72413793103448,King & Story,191.8293791992321,53.91276819585644,245.74214739508864,POINT (6170984.30904675 1949424.31964456),3641101833,403.98695084786453,151.0,151.0,31857.5,235.56295403187457
22,1,60063,14,209.17241379310346,King & Virginia,44.15400636944758,45.694812540400775,89.84881890984832,POINT (6169795.79436341 1951000.6681979),65503366,475.5281154173834,144.0,144.0,20818.0,266.42357968927803
22,1,60064,15,177.3448275862069,King & Kammerer,49.92121391680215,27.24025296598826,77.16146688279038,POINT (6169252.40306175 1951704.01226364),65545468,286.83256888316106,106.0,106.0,17311.333333333332,346.43613280695996
22,1,60065,16,128.72413793103448,King & San Antonio,39.93575036075036,51.8649602031955,91.80071056394586,POINT (6168449.96831492 1952846.26063532),4890201417,407.1347114207417,27.0,27.0,13049.333333333334,234.90578073403225
22,1,60426,17,149.58620689655172,Alum Rock & King,176.5811196156784,91.3552925832337,267.93641219891214,POINT (6167485.29275084 1953720.69130115),65421253,440.59503664143494,118.0,118.0,28500.0,341.90444521001785
22,1,60428,18,216.58620689655172,Alum Rock & 33rd,79.13018566400918,26.64117336911454,105.7713590331237,POINT (6166691.40391867 1953260.28014848),65421247,356.5884551204748,20.0,20.0,14511.0,43.09053637859709
22,1,60429,19,227.10344827586206,Santa Clara & 28th,85.32822879734645,56.89169906890496,142.21992786625142,POINT (6165234.65912874 1952419.54823415),65529824,526.6574419860497,30.0,30.0,24967.75,39.49441086932498
22,1,60431,20,192.20689655172413,Santa Clara & 24th,161.8811642605759,85.95269322181085,247.83385748238675,POINT (6164019.37448584 1951715.55685998),65494694,371.01078687599926,15.0,15.0,11923.5,19.850007778775286
22,1,60433,21,173.92857142857142,Santa Clara & 20th,117.40724781754196,49.47766130927899,166.8849091268209,POINT (6162816.90937108 1951037.64942315),65529813,393.05815537865544,21.0,21.0,17102.666666666668,341.9002386193197
22,1,60434,22,178.9655172413793,Santa Clara & 17th,190.16335739423965,67.19104204618914,257.35439944042884,POINT (6162058.020797 1950595.79367957),65460546,288.24628750010345,69.0,69.0,16768.0,39.452754170876034
22,1,60435,23,173.58620689655172,Santa Clara & 14th,46.11951732907617,18.283519340137,64.40303666921317,POINT (6161248.99518408 1950127.02165122),65519591,289.14483291282704,24.0,24.0,15372.0,140.03082512434528
22,1,60437,24,162.3448275862069,Santa Clara & 11th,99.5592179878944,97.3992188367188,196.95843682461316,POINT (6160398.19767308 1949646.87267715),65529804,291.90046751247496,23.0,23.0,14241.666666666666,158.19718194810903
22,1,60438,25,162.68965517241378,Santa Clara & 7th,164.5072665080018,312.8525174172233,477.359783925225,POINT (6159301.49973525 1949016.35359699),65468916,431.0674060802388,77.0,77.0,14389.0,217.622973257521
22,1,65849,27,280.3103448275862,Santa Clara & 2nd,325.42883668618987,278.0328862314157,603.4617229176056,POINT (6157575.71742566 1948005.21716781),65419211,326.9960939032292,98.0,98.0,10873.545454545454,102.09179268679131
