bus_id,trip_id,route_id,lat,lon,time,speed,direction
0130,3926108,60,37.29328155517578,-121.9500503540039,1774486047,0.024178680032491684,1
0131,3926114,60,37.41006851196289,-121.89159393310547,1774486047,0.0020577600225806236,1
0132,3926113,60,37.40299606323242,-121.8907241821289,1774486047,8.093684196472168,1
0133,3926109,60,37.300907135009766,-121.95010375976562,1774486047,7.462981224060059,1
0134,3926045,60,37.386295318603516,-121.88777923583984,1774486047,11.418509483337402,0
0135,3926110,60,37.34146499633789,-121.95140838623047,1774486047,0.0025722000282257795,1
0136,3926050,60,37.279422760009766,-121.9489974975586,1774486047,0.0015433200169354677,0
0141,3917822,23,37.32494354248047,-121.9000244140625,1774486047,0.0025722000282257795,1
0142,3917748,23,37.36067581176758,-121.8386459350586,1774486047,5.897026062011719,0
0145,3917729,23,37.322547912597656,-122.04491424560547,1774486047,0.0036010800395160913,0
0147,3917742,23,37.32322311401367,-121.9549560546875,1774486047,10.516181945800781,0
0148,3917821,23,37.323516845703125,-121.9206771850586,1774486047,14.499490737915039,1
0150,3923699,Rapid 523,37.338340759277344,-121.8836441040039,1774486047,0.0015433200169354677,1
0152,3917773,23,37.35761642456055,-121.84520721435547,1774486047,11.10418701171875,0
0156,3917774,23,37.32345199584961,-121.91252136230469,1774486047,0.0025722000282257795,0
0160,3917823,23,37.354736328125,-121.85169219970703,1774486047,0.0005144400056451559,1
0161,3917824,23,37.35776138305664,-121.83257293701172,1774486047,0.0020577600225806236,1
0163,3917775,23,37.32297897338867,-121.99271392822266,1774486047,0.0005144400056451559,0
0165,3917732,23,37.32719421386719,-121.89607238769531,1774486047,0.0020577600225806236,0
0170,3926046,60,37.372528076171875,-121.91756439208984,1774486047,10.43387222290039,0
0173,3923668,Rapid 523,37.32304000854492,-122.01974487304688,1774486047,8.290714263916016,1
0174,3923649,Rapid 523,37.32654571533203,-121.89729309082031,1774486047,0.0030866400338709354,0
0175,3923619,Rapid 523,37.407554626464844,-122.02680969238281,1774486047,8.638476371765137,0
0176,3923650,Rapid 523,37.35923767089844,-122.03245544433594,1774486047,0.0036010800395160913,0
0179,3923635,Rapid 523,37.41057205200195,-122.02849578857422,1774486047,0.0025722000282257795,0
0181,3923618,Rapid 523,37.32316207885742,-121.96568298339844,1774486047,4.707640647888184,0
0183,3923698,Rapid 523,37.36698532104492,-122.0322494506836,1774486047,0.0020577600225806236,1
0190,3916771,22,37.334903717041016,-121.89328002929688,1774486047,3.3418021202087402,0
0193,3918716,25,37.32666015625,-121.86312103271484,1774486047,14.146585464477539,0
0195,3926048,60,37.35258483886719,-121.93978118896484,1774486047,10.385000228881836,0
0197,3926049,60,37.3017692565918,-121.94982147216797,1774486047,0.0010288800112903118,0
0198,3926047,60,37.35575485229492,-121.93084716796875,1774486047,0.0,0
0199,3926112,60,37.38839340209961,-121.88705444335938,1774486047,2.790837049484253,1
0947,3923685,Rapid 523,37.32834243774414,-121.89390563964844,1774486047,1.788159966468811,1
3453,3918797,25,37.32102966308594,-121.875732421875,1774486047,5.132567882537842,1
3454,3918718,25,37.30817794799805,-121.90159606933594,1774486047,0.0,0
3459,3918713,25,37.34039306640625,-121.84222412109375,1774486047,5.064147472381592,0
3463,3918715,25,37.3162841796875,-121.88648223876953,1774486047,12.41086483001709,0
3470,3918816,25,37.357948303222656,-121.83257293701172,1774486047,0.0025722000282257795,1
3477,3918794,25,37.31439971923828,-121.93172454833984,1774486047,0.0,1
3478,3918798,25,37.35595703125,-121.8196029663086,1774486047,0.17799623310565948,1
3483,3918795,25,37.31062316894531,-121.9136962890625,1774486047,0.0,1
4302,3922808,Rapid 522,37.35247039794922,-121.95899963378906,1774486047,0.0,1
4304,3922742,Rapid 522,37.33580780029297,-121.89122772216797,1774486047,0.0036010800395160913,0
4305,3922852,Rapid 522,37.33539962768555,-121.91670227050781,1774486047,13.858240127563477,1
4306,3922741,Rapid 522,37.340572357177734,-121.9229507446289,1774486047,13.710855484008789,0
4307,3922807,Rapid 522,37.35301208496094,-121.8552017211914,1774486047,5.7889933586120605,1
4310,3922798,Rapid 522,37.355133056640625,-121.94255065917969,1774486047,17.655065536499023,0
4311,3922782,Rapid 522,37.40127182006836,-122.11373901367188,1774486047,8.046719551086426,0
4315,3922810,Rapid 522,37.38665771484375,-122.08551025390625,1774486047,12.787949562072754,1
4316,3922743,Rapid 522,37.35509490966797,-121.83062744140625,1774486047,0.0030866400338709354,0
4318,3922738,Rapid 522,37.352134704589844,-121.99860382080078,1774486047,0.0036010800395160913,0
4319,3922739,Rapid 522,37.44382095336914,-122.16570281982422,1774486047,0.0020577600225806236,0
4320,3922805,Rapid 522,37.35065460205078,-121.82661437988281,1774486047,4.949941635131836,1
4322,3922853,Rapid 522,37.32720947265625,-121.81108093261719,1774486047,0.0010288800112903118,1
4325,3922740,Rapid 522,37.369483947753906,-122.0390625,1774486047,1.1991597414016724,0
4329,3922802,Rapid 522,37.44322204589844,-122.1650619506836,1774486047,2.8433098793029785,0
6413,3926111,60,37.35396194458008,-121.9269027709961,1774486047,14.64867877960205,1
6424,3918796,25,37.31386947631836,-121.88751220703125,1774486047,15.64639949798584,1
7405,3918721,25,37.32218933105469,-122.0416259765625,1774486047,0.0020577600225806236,0
7413,3917848,23,37.322479248046875,-122.04560089111328,1774486047,9.998656272888184,1
7420,3918792,25,37.309547424316406,-121.99424743652344,1774486047,6.060102939605713,1
7421,3918800,25,37.358123779296875,-121.83270263671875,1774486047,0.0,1
7443,3918719,25,37.30958938598633,-121.99662017822266,1774486047,0.005658839829266071,0
7453,3918720,25,37.312435150146484,-121.93729400634766,1774486047,0.0,0
7454,3918799,25,37.35768508911133,-121.83232879638672,1774486047,3.576319932937622,1
8303,3916789,22,37.435577392578125,-122.133056640625,1774486047,0.0,0
8304,3916770,22,37.338565826416016,-121.84193420410156,1774486047,7.152639865875244,0
8306,3916853,22,37.35356521606445,-122.01467895507812,1774486047,7.152639865875244,1
8308,3916752,22,37.39157485961914,-122.09520721435547,1774486047,0.03035196103155613,0
8313,3916867,22,37.33637237548828,-121.89037322998047,1774486047,0.0025722000282257795,1
8316,3916852,22,37.39287567138672,-122.09614562988281,1774486047,0.0,1
8318,3916807,22,37.3270263671875,-121.81092834472656,1774486047,0.0025722000282257795,1
8320,3916739,22,37.336856842041016,-121.8890151977539,1774486047,5.265293121337891,0
8323,3916840,22,37.39976119995117,-122.11058044433594,1774486047,0.0015433200169354677,1
8324,3916751,22,37.353580474853516,-122.01519775390625,1774486047,0.0025722000282257795,0
8326,3916788,22,37.444190979003906,-122.16625213623047,1774486047,0.0,0
8327,3916744,22,37.44389343261719,-122.16626739501953,1774486047,0.0025722000282257795,0
8328,3916828,22,37.35248947143555,-121.9669189453125,1774486047,11.119620323181152,1
8329,3916740,22,37.352840423583984,-121.95134735107422,1774486047,0.0030866400338709354,0
