,counter_id,adt,main_road,counter_location,cross_road,nearby_intersect,geometry,index_right,route_id,route_name,route_desc,category,route_length,object_id
676,5122,16540.0,SANTA CLARA ST,E of,12TH ST,SANTA CLARA ST & 12TH ST,POINT (6160867.08748333 1949868.16258889),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
685,5131,16190.0,MARKET ST,N of,SANTA CLARA ST,MARKET ST & SANTA CLARA ST,POINT (6156842.88916691 1947840.12497832),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
685,5131,16190.0,MARKET ST,N of,SANTA CLARA ST,MARKET ST & SANTA CLARA ST,POINT (6156842.88916691 1947840.12497832),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
687,5133,15942.0,LUNDY AV,S of,MURPHY AV,LUNDY AV & MURPHY AV,POINT (6159094.72915141 1966337.99513473),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
696,5142,15674.0,BOLLINGER RD,E of,BLANEY AV,BOLLINGER RD & BLANEY AV,POINT (6118825.92451859 1938850.2771444),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
700,5146,15560.0,OLD BAYSHORE HY,E of,FIRST ST,OLD BAYSHORE HY & FIRST ST,POINT (6149818.34908216 1960760.23004356),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
706,5152,15160.0,BOLLINGER RD,E of,WINDSOR ST,BOLLINGER RD & WINDSOR ST,POINT (6117496.20539324 1939358.9906939),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
712,5158,14970.0,KING RD,S of,SAN ANTONIO ST,KING RD & SAN ANTONIO ST,POINT (6168607.94109608 1952548.55191314),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
719,5165,14770.0,FIRST ST,N of,METRO DR,FIRST ST & METRO DR,POINT (6150274.38032234 1960255.48334965),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
720,5166,14725.0,KEYES ST,E of,THIRD ST,KEYES ST & THIRD ST,POINT (6161651.03998366 1942291.17479014),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
729,5175,14370.0,LUNDY AV,S of,COMMERCE DR,LUNDY AV & COMMERCE DR,POINT (6157802.45581733 1968332.18734056),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
738,5184,13864.0,BOLLINGER RD,W of,BLANEY AV,BOLLINGER RD & BLANEY AV,POINT (6118551.08714175 1938958.34943481),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
746,5192,13590.0,SANTA CLARA ST,E of,SIXTH ST,SANTA CLARA ST & SIXTH ST,POINT (6159052.19708425 1948824.70437399),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
746,5192,13590.0,SANTA CLARA ST,E of,SIXTH ST,SANTA CLARA ST & SIXTH ST,POINT (6159052.19708425 1948824.70437399),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
746,5192,13590.0,SANTA CLARA ST,E of,SIXTH ST,SANTA CLARA ST & SIXTH ST,POINT (6159052.19708425 1948824.70437399),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
746,5192,13590.0,SANTA CLARA ST,E of,SIXTH ST,SANTA CLARA ST & SIXTH ST,POINT (6159052.19708425 1948824.70437399),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
753,5199,13298.0,HEDDING ST,E of,THE ALAMEDA,HEDDING ST & THE ALAMEDA,POINT (6148106.59528783 1949798.81561473),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
753,5199,13298.0,HEDDING ST,E of,THE ALAMEDA,HEDDING ST & THE ALAMEDA,POINT (6148106.59528783 1949798.81561473),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
