,counter_id,adt,main_road,counter_location,cross_road,nearby_intersect,geometry,index_right,route_id,route_name,route_desc,category,route_length,object_id
403,4849,7875.0,4TH ST,N of,SANTA CLARA ST,4TH ST&SANTA CLARA ST,POINT (6158307.17495225 1948449.43019015),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
403,4849,7875.0,4TH ST,N of,SANTA CLARA ST,4TH ST&SANTA CLARA ST,POINT (6158307.17495225 1948449.43019015),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
431,4877,33676.0,COLEMAN AV,N of,AIRPORT BL,COLEMAN AV & AIRPORT BL,POINT (6148589.45554258 1953407.77657264),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
441,4887,8932.0,WILLIAMS RD,E of,EDEN AV,WILLIAMS RD & EDEN AV,POINT (6138830.37696366 1938204.28663848),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
451,4897,9090.0,WILLOW ST,E of,GLEN EYRIE AV,WILLOW ST & GLEN EYRIE AV,POINT (6151507.43658325 1936361.96814464),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
452,4898,9760.0,WILLOW ST,W of,GLEN EYRIE AV,WILLOW ST & GLEN EYRIE AV,POINT (6151378.35842933 1936290.95680372),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
461,4907,26800.0,STORY RD,E of,JACKSON AV,STORY RD & JACKSON AV,POINT (6174439.16565408 1951688.5408379),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
463,4909,20354.0,JACKSON AV,N of,STORY RD,JACKSON AV & STORY RD,POINT (6174211.75862858 1951687.84562932),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
476,4922,37430.0,WINCHESTER BL,N of,OLIN ST,WINCHESTER BL & OLIN ST,POINT (6139994.70599984 1942606.90512981),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
480,4926,22920.0,STORY RD,E of,REMILLARD CT,STORY RD & REMILLARD CT,POINT (6166065.59841175 1944788.11074114),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
481,4927,23540.0,STORY RD,W of,REMILLARD CT,STORY RD & REMILLARD CT,POINT (6165910.57542783 1944672.08538264),4,23879,25,DE ANZA COL - VMC - ALUM ROCK STN,Frequent,140850.28949079284,5
482,4928,27076.0,STEVENS CREEK BL,W of,RICHFIELD DR,STEVENS CREEK BL & RICHFIELD DR,POINT (6130051.21374774 1943543.05450423),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
482,4928,27076.0,STEVENS CREEK BL,W of,RICHFIELD DR,STEVENS CREEK BL & RICHFIELD DR,POINT (6130051.21374774 1943543.05450423),55,23897,523,SAN JOSE STATE - LOCKHEED MARTIN,Rapid,162676.69029166122,56
484,4930,18894.0,SANTA CLARA ST,W of,24TH ST,SANTA CLARA ST & 24TH ST,POINT (6163948.18302716 1951637.81259289),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
484,4930,18894.0,SANTA CLARA ST,W of,24TH ST,SANTA CLARA ST & 24TH ST,POINT (6163948.18302716 1951637.81259289),3,23876,23,DE ANZA COL - ALUM ROCK STN,Frequent,120202.95218814221,4
484,4930,18894.0,SANTA CLARA ST,W of,24TH ST,SANTA CLARA ST & 24TH ST,POINT (6163948.18302716 1951637.81259289),54,23896,522,PALO ALTO - EASTRIDGE,Rapid,253522.04243493578,55
489,4935,43398.0,TULLY RD,E of,KING RD,TULLY RD & KING RD,POINT (6176435.40444374 1942829.13598457),2,23875,22,PALO ALTO - EASTRIDGE,Frequent,242559.90769687793,3
490,4936,43256.0,BROKAW RD,W of,OAKLAND,BROKAW RD & OAKLAND,POINT (6155512.17594908 1964909.21452773),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
491,4937,42790.0,MURPHY AV,W of,DELUCA DR,MURPHY AV & DELUCA DR,POINT (6158303.54306975 1965988.67037407),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
494,4940,41880.0,WINCHESTER BL,N of,JUNIPERO SERRA FR,WINCHESTER BL & JUNIPERO SERRA FR,POINT (6139986.25555742 1941365.88891107),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
495,4941,41799.0,MURPHY AV,W of,OYAMA DR,MURPHY AV & OYAMA DR,POINT (6157131.26785524 1965122.84631832),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
497,4943,41322.0,MURPHY AV,E of,OYAMA DR,MURPHY AV & OYAMA DR,POINT (6157263.81680274 1965220.90124032),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
498,4944,40853.0,MURPHY AV,W of,LUNDY AV,MURPHY AV & LUNDY AV,POINT (6158742.88831966 1966313.28553848),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
499,4945,38460.0,WINCHESTER BL,S of,OLSEN DR,WINCHESTER BL & OLSEN DR,POINT (6139990.79130949 1941805.18232381),20,23904,60,WINCHESTER STN - MILPITAS BART,Frequent,151256.0590185394,21
