,route_id,direction_id,stop_id,stop_sequence,mean_delay,stop_name,boardings,alightings,total_b_a,geometry,proj_dist,spacing
0,22,0,60328,2,139.5,Palo Alto Transit Center (Bay 10),733.9948585727998,0.2380952380952384,734.176676754618,POINT (6078107.96035099 1988346.45439856),0.0,
1,22,0,60329,3,196.0,El Camino & Palm,12.793263517528224,3.426026751026751,16.21929026855498,POINT (6079055.87151292 1986640.97191715),1912.4839860462664,1912.4839860462664
2,22,0,60330,4,173.0,El Camino & Galvez,66.45979102596746,7.4282283892578,73.88801941522533,POINT (6079788.22634742 1985807.8761424),3020.9523727545075,1108.468386708241
3,22,0,60331,5,146.5,El Camino & Sam McDonald,4.579659882601059,0.2625,4.84215988260106,POINT (6080518.11694799 1984980.67143197),4125.16466169995,1104.2122889454422
4,22,0,60332,6,158.66666666666666,El Camino & Churchill,4.251791101055807,1.0556489262371618,5.307440027292967,POINT (6081284.45957541 1984093.84840249),5297.244256719997,1172.0795950200472
5,22,0,60333,7,124.33333333333333,El Camino & Serra,14.807890557155256,3.132273690361927,17.94016424751717,POINT (6082149.76788417 1983118.26636414),6601.228022163916,1303.9837654439189
6,22,0,60334,8,86.66666666666667,El Camino & Oxford,6.582965727083374,8.09194220811868,14.674907935202054,POINT (6083068.09708424 1982066.03356048),7998.561397220524,1397.333375056608
7,22,0,60335,9,85.0,El Camino & California,104.72777900204368,45.388473209796736,150.11625221184042,POINT (6083824.35869507 1981339.69413389),9047.640232065263,1049.0788348447395
8,22,0,60336,10,126.66666666666667,El Camino & Page Mill,71.98633047279519,18.622602534067237,90.60863300686248,POINT (6085022.45013091 1980516.03895706),10502.684466713952,1455.0442346486889
9,22,0,60337,11,109.0,El Camino & Hansen,19.66011594614536,5.938856405032873,25.598972351178237,POINT (6086134.1431175 1979763.50437289),11844.395894644971,1341.711427931019
10,22,0,60338,12,93.66666666666667,El Camino & Matadero,13.394566462948818,11.32767893870835,24.72224540165715,POINT (6087064.91619033 1979142.36060207),12964.077620063019,1119.6817254180478
11,22,0,60339,13,85.33333333333333,El Camino & Barron,18.25715999686588,17.555385872297638,35.81254586916349,POINT (6087694.06945957 1978711.50221181),13726.590142781219,762.5125227181998
