bus_id,trip_id,route_id,lat,lon,time,speed,direction,geometry,line_id
0130,3926083,60,37.37763595581055,-121.9128113,1774546301,4.379941940307617,1,POINT (6151165.85483321 1963070.8699854712),23904
0131,3926019,60,37.35345077514648,-121.9372406,1774546301,0.00205776,0,POINT (6143933.120630703 1954374.084725085),23875
0133,3926017,60,37.381004333496094,-121.9072647,1774546301,12.524041175842283,0,POINT (6152795.768530263 1964272.8894914847),23904
0134,3926080,60,37.29477691650391,-121.9500046,1774546301,9.549550056,1,POINT (6139892.620884772 1933070.5867855626),23904
0136,3926086,60,37.41006851196289,-121.8915939,1774546301,0.00102888,1,POINT (6157505.793759231 1974786.022779841),23904
0144,3917850,23,37.35791016,-121.832695,1774546301,0.0025722,1,POINT (6174340.237432572 1955547.9325360477),23876
0145,3918684,25,37.312461853027344,-121.9376831,1774546301,0.00205776,0,POINT (6143575.290539927 1939453.6524166786),23879
0146,3917795,23,37.32329940795898,-121.9399567,1774546301,0.00308664,1,POINT (6142974.863131509 1943409.3288377349),23876
0147,3917851,23,37.32317352294922,-121.9905167,1774546301,12.94228172302246,1,POINT (6128274.178965635 1943593.669608826),23876
0149,3917720,23,37.32472610473633,-121.9001846,1774546301,7.275210380554199,0,POINT (6154546.170021447 1943753.2564224266),23876
0152,3917796,23,37.34417724609375,-121.873848,1774546301,3.732262372970581,1,POINT (6162307.242454589 1950721.2168536524),23875
0153,3917733,23,37.322784423828125,-122.0270996,1774546301,0.00411552,0,POINT (6117635.699746305 1943623.4563305667),23876
0155,3917736,23,37.36162567138672,-121.8366928,1774546301,9.328340530395508,0,POINT (6173197.738353429 1956917.1950642855),23876
0156,3917762,23,37.322513580322266,-122.0443954,1774546301,0.00154332,0,POINT (6112605.460410528 1943607.348012584),23876
0159,3918761,25,37.329200744628906,-121.8590927,1774546301,0.4887180030345917,1,POINT (6166516.935637903 1945206.177660234),23879
0161,3917794,23,37.32302474975586,-122.0365372,1774546301,3.523399591445923,1,POINT (6114893.229336222 1943755.8455984679),23876
0169,3926082,60,37.364845275878906,-121.9233322,1774546301,5.984994888305664,1,POINT (6148038.364549552 1958460.597580767),23904
0177,3923662,Rapid 523,37.32922363,-121.8920593,1774546301,12.254474639892578,1,POINT (6156932.877033471 1945355.3917935067),23876
0181,3923642,Rapid 523,37.32339477539063,-121.9244308,1774546301,2.705439805984497,0,POINT (6147489.459387724 1943374.9618512336),23876
0198,3926022,60,37.27942657470703,-121.9487152,1774546301,0.0,0,POINT (6140181.143903603 1927476.360292872),23904
0199,3926018,60,37.36870574951172,-121.9281311,1774546301,3.019762754440308,0,POINT (6146665.332083381 1959887.2891378915),23904
2038,3923612,Rapid 523,37.32281494140625,-122.0366821,1774546301,11.610396385192873,0,POINT (6114849.846857663 1943680.1556732587),23876
3404,3926081,60,37.34260177612305,-121.9519348,1774546301,4.360393524169922,1,POINT (6139601.324148799 1950490.3331443921),23904
3405,3926021,60,37.27942657470703,-121.9491196,1774546301,0.00051444,0,POINT (6140063.49813541 1927478.1819509692),23904
3437,3926084,60,37.40901565551758,-121.8953781,1774546301,0.0540161989629268,1,POINT (6156401.115771499 1974419.078784097),23904
3453,3918681,25,37.31111526489258,-121.9318161,1774546301,0.00205776,0,POINT (6145273.8345851805 1938937.2566348752),23879
3460,3918760,25,37.31202697753906,-121.8863831,1774546301,9.313936233520508,1,POINT (6158490.344123749 1939070.2354892218),23879
3462,3918758,25,37.31489944458008,-121.9342346,1774546301,6.482458591461182,1,POINT (6144591.666671814 1940325.6929357871),23879
3472,3918677,25,37.35958099365234,-121.8222275,1774546301,11.124765396118164,0,POINT (6177390.8367692 1956113.0783339348),23879
3474,3918680,25,37.33967590332031,-121.8432693,1774546301,0.00102888,0,POINT (6171171.92686434 1948953.3997533605),23875
3496,3923613,Rapid 523,37.36587524414063,-122.0324097,1774546301,12.50809383392334,0,POINT (6116348.691030064 1959336.0634601715),23897
4135,3926085,60,37.40989303588867,-121.89151,1774546301,0.00102888,1,POINT (6157529.209229822 1974721.7759744062),23904
4302,3922837,Rapid 522,37.35245895385742,-121.9685059,1774546301,4.023359775543213,1,POINT (6134840.946339513 1954154.0739701062),23875
4303,3922763,Rapid 522,37.44391250610352,-122.1658401,1774546301,0.00102888,0,POINT (6078083.286428351 1988407.6895755008),23875
4304,3922767,Rapid 522,37.35266876220703,-122.013504,1774546301,0.00051444,0,POINT (6121764.463542047 1954438.7991880532),23875
